2022-04-04 15:47:40,710 - INFO - mtx_name: 131_lns_131.mtx, num_nodes: 131, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:33, abc_result: 33, greedy_time:0.0
2022-04-04 15:47:59,758 - INFO - mtx_name: 132_west0132.mtx, num_nodes: 132, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:33, abc_result: 33, greedy_time:0.0007936954498291016
2022-04-04 15:48:43,326 - INFO - mtx_name: 147_lund_b.mtx, num_nodes: 147, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 55, greedy_result:55, abc_result: 55, greedy_time:0.0
2022-04-04 15:48:51,341 - INFO - mtx_name: 57_will57.mtx, num_nodes: 57, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 17, greedy_result:20, abc_result: 18, greedy_time:0.0
2022-04-04 15:49:01,553 - INFO - mtx_name: 62_bfwa62.mtx, num_nodes: 62, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 16, greedy_result:19, abc_result: 18, greedy_time:0.0
2022-04-04 15:49:13,450 - INFO - mtx_name: 67_west0067.mtx, num_nodes: 67, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:19, abc_result: 18, greedy_time:0.0
2022-04-04 15:49:29,927 - INFO - mtx_name: 80_steam3.mtx, num_nodes: 80, num_threads: 4, num_loop: 100, num_nectars:20, limit: 10, dp_result: 8, greedy_result:20, abc_result: 20, greedy_time:0.0008034706115722656
2022-04-04 15:50:19,808 - INFO - mtx_name: 100_nos4.mtx, num_nodes: 100, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 32, greedy_result:34, abc_result: 32, greedy_time:0.0
2022-04-04 15:50:42,750 - INFO - mtx_name: 100_olm100.mtx, num_nodes: 100, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 51, greedy_result:51, abc_result: 51, greedy_time:0.0019958019256591797
2022-04-04 15:51:16,336 - INFO - mtx_name: 104_ck104.mtx, num_nodes: 104, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 30, greedy_result:30, abc_result: 30, greedy_time:0.0
2022-04-04 15:51:37,690 - INFO - mtx_name: 131_lns_131.mtx, num_nodes: 131, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:27, abc_result: 27, greedy_time:0.0
2022-04-04 15:51:59,509 - INFO - mtx_name: 132_west0132.mtx, num_nodes: 132, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:27, abc_result: 27, greedy_time:0.0
2022-04-04 15:52:42,144 - INFO - mtx_name: 147_lund_b.mtx, num_nodes: 147, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 55, greedy_result:55, abc_result: 55, greedy_time:0.0005147457122802734
2022-04-04 15:52:51,180 - INFO - mtx_name: 57_will57.mtx, num_nodes: 57, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 17, greedy_result:18, abc_result: 17, greedy_time:0.0
2022-04-04 15:53:02,421 - INFO - mtx_name: 62_bfwa62.mtx, num_nodes: 62, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 16, greedy_result:18, abc_result: 17, greedy_time:0.0
2022-04-04 15:53:14,053 - INFO - mtx_name: 67_west0067.mtx, num_nodes: 67, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:17, abc_result: 15, greedy_time:0.0
2022-04-04 15:53:29,985 - INFO - mtx_name: 80_steam3.mtx, num_nodes: 80, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 8, greedy_result:16, abc_result: 16, greedy_time:0.0006823539733886719
2022-04-04 15:56:29,699 - INFO - mtx_name: lap_25.mtx, num_nodes: 25, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:15, abc_result: 15, greedy_time:0.0
2022-04-04 15:57:49,762 - INFO - mtx_name: lap_25.mtx, num_nodes: 25, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:15, abc_result: 15, greedy_time:0.0
2022-04-04 15:59:34,335 - INFO - mtx_name: ./daata_2/100_nos4.mtx, num_nodes: 100, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 32, greedy_result:53, abc_result: 50, greedy_time:0.0009963512420654297
2022-04-04 16:00:21,468 - INFO - mtx_name: jgl009.mtx, num_nodes: 9, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 3, greedy_result:5, abc_result: 5, greedy_time:0.0
2022-04-04 16:00:48,557 - INFO - mtx_name: jgl009.mtx, num_nodes: 9, num_threads: 2, num_loop: 100, num_nectars:20, limit: 10, dp_result: 3, greedy_result:5, abc_result: 5, greedy_time:0.0
2022-04-04 16:31:48,110 - INFO - mtx_name: 104_ck104.mtx, num_nodes: 104, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 30, greedy_result:30, abc_result: 30, greedy_time:0.0
2022-04-04 16:32:39,025 - INFO - mtx_name: 112_bcsstk03.mtx, num_nodes: 112, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 52, greedy_result:52, abc_result: 52, greedy_time:0.0007836818695068359
2022-04-04 16:33:11,986 - INFO - mtx_name: 113_gent113.mtx, num_nodes: 113, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 4, greedy_result:23, abc_result: 23, greedy_time:0.001995086669921875
2022-04-04 16:33:35,427 - INFO - mtx_name: 115_gre_115.mtx, num_nodes: 115, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 4, greedy_result:23, abc_result: 23, greedy_time:0.0009970664978027344
2022-04-04 16:34:00,846 - INFO - mtx_name: 131_lnsp_131.mtx, num_nodes: 130, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 13, greedy_result:26, abc_result: 26, greedy_time:0.0
2022-04-04 16:34:25,107 - INFO - mtx_name: 131_lns_131.mtx, num_nodes: 131, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 10, greedy_result:27, abc_result: 27, greedy_time:0.0009949207305908203
2022-04-04 16:35:19,847 - INFO - mtx_name: 132_bcsstk04.mtx, num_nodes: 132, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 82, greedy_result:82, abc_result: 82, greedy_time:0.0009975433349609375
2022-04-04 16:35:34,462 - INFO - mtx_name: 137_impcol_c.mtx, num_nodes: 121, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 19, greedy_result:30, abc_result: 25, greedy_time:0.0
2022-04-04 16:35:51,812 - INFO - mtx_name: 138_bcsstk22.mtx, num_nodes: 138, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 26, greedy_result:33, abc_result: 30, greedy_time:0.0
2022-04-04 16:35:58,140 - INFO - mtx_name: 49_bcspwr02.mtx, num_nodes: 49, num_threads: 5, num_loop: 100, num_nectars:20, limit: 10, dp_result: 8, greedy_result:11, abc_result: 10, greedy_time:0.0
